                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.30042,                0.22634,                0.92083,                 0.9848,                0.99317,                  0.995,                0.93859,                0.33537,                0.23416,                0.88501,              0.0002333,              0.0002333,              0.0002333
                     37,                0.30476,                0.23346,                0.90474,                  0.983,                0.99709,                 0.9949,                0.94289,                 0.3217,                0.22837,                 0.8774,             0.00022977,             0.00022977,             0.00022977
                     38,                0.29572,                0.22703,                 0.9159,                0.98306,                0.99373,                  0.995,                0.94754,                0.32075,                0.22329,                 0.8723,             0.00022623,             0.00022623,             0.00022623
                     39,                0.27834,                 0.2246,                0.91083,                0.98079,                0.98961,                0.99481,                 0.9451,                0.31105,                0.22297,                0.86362,              0.0002227,              0.0002227,              0.0002227
                     40,                0.28279,                0.22321,                0.90983,                0.97294,                0.99627,                  0.995,                0.94286,                0.31657,                0.22469,                0.86988,             0.00021916,             0.00021916,             0.00021916
                     41,                0.29585,                0.22669,                0.90749,                0.98451,                0.99766,                0.99493,                0.94193,                0.31687,                0.22635,                0.86808,             0.00021563,             0.00021563,             0.00021563
                     42,                0.29051,                0.22338,                0.90279,                0.98387,                0.99473,                0.99476,                0.94133,                 0.3078,                0.21894,                0.85893,             0.00021209,             0.00021209,             0.00021209
                     43,                0.28356,                0.21653,                0.90125,                  0.986,                0.99567,                0.99498,                0.94743,                0.30649,                0.21918,                 0.8598,             0.00020856,             0.00020856,             0.00020856
                     44,                0.30178,                0.22579,                0.91283,                0.98639,                0.99489,                0.99492,                0.95569,                0.30613,                0.22261,                0.86267,             0.00020503,             0.00020503,             0.00020503
                     45,                0.28002,                  0.217,                0.90799,                0.98806,                0.99602,                0.99494,                0.94306,                0.30846,                0.21936,                0.86614,             0.00020149,             0.00020149,             0.00020149
                     46,                0.27946,                0.21518,                0.90346,                 0.9802,                0.99382,                 0.9949,                0.94277,                0.31668,                0.22373,                0.87015,             0.00019796,             0.00019796,             0.00019796
                     47,                0.28066,                0.21425,                0.90565,                0.96176,                0.99185,                 0.9949,                0.94473,                0.30937,                0.22846,                0.86599,             0.00019442,             0.00019442,             0.00019442
                     48,                0.27509,                0.21507,                0.89733,                0.98449,                0.99679,                0.99498,                0.95619,                0.29559,                 0.2155,                0.85002,             0.00019089,             0.00019089,             0.00019089
                     49,                0.28072,                0.21751,                0.89739,                0.98561,                0.99717,                0.99498,                0.95619,                0.30186,                0.21653,                0.85719,             0.00018735,             0.00018735,             0.00018735
                     50,                0.28153,                0.21351,                 0.8986,                0.99293,                0.99595,                0.99497,                0.94817,                0.28963,                0.21396,                0.84956,             0.00018382,             0.00018382,             0.00018382
                     51,                0.27809,                0.20979,                0.89447,                 0.9848,                0.99589,                  0.995,                0.95419,                0.29027,                0.21129,                0.85245,             0.00018028,             0.00018028,             0.00018028
                     52,                0.27612,                 0.2078,                0.90077,                0.98192,                0.99769,                0.99499,                0.94575,                0.28113,                0.20661,                0.84392,             0.00017675,             0.00017675,             0.00017675
                     53,                0.27252,                0.20653,                0.89463,                 0.9838,                0.99953,                0.99494,                0.95235,                0.28351,                0.21144,                0.84865,             0.00017322,             0.00017322,             0.00017322
                     54,                0.26914,                0.20665,                0.89776,                0.98365,                 0.9979,                  0.995,                0.94508,                0.28401,                0.20728,                 0.8469,             0.00016968,             0.00016968,             0.00016968
                     55,                0.27024,                0.20371,                0.90279,                0.97976,                0.99272,                0.99498,                 0.9474,                  0.279,                0.20559,                0.84327,             0.00016615,             0.00016615,             0.00016615
                     56,                  0.269,                0.20629,                0.89075,                0.97953,                0.99675,                0.99494,                0.95809,                 0.2726,                0.20354,                0.83742,             0.00016261,             0.00016261,             0.00016261
                     57,                0.25899,                 0.1951,                0.89118,                0.99062,                0.99829,                 0.9949,                 0.9593,                0.27446,                0.20039,                0.83897,             0.00015908,             0.00015908,             0.00015908
                     58,                0.25591,                0.19693,                0.89115,                0.98962,                0.99754,                0.99499,                 0.9653,                0.26423,                0.19793,                0.83379,             0.00015554,             0.00015554,             0.00015554
                     59,                0.25847,                0.19574,                0.88647,                0.98526,                0.99575,                0.99465,                0.95875,                0.27772,                 0.2015,                0.84408,             0.00015201,             0.00015201,             0.00015201
                     60,                0.25808,                0.19768,                0.88947,                0.98515,                0.99578,                0.99479,                 0.9588,                0.27541,                0.20257,                0.84134,             0.00014848,             0.00014848,             0.00014848
                     61,                0.26484,                0.20248,                0.88829,                0.98275,                0.99737,                0.99499,                0.95687,                0.27222,                0.20126,                0.84247,             0.00014494,             0.00014494,             0.00014494
                     62,                0.25463,                0.19663,                0.88848,                0.98716,                0.99729,                 0.9949,                0.95031,                0.27337,                0.20468,                0.84358,             0.00014141,             0.00014141,             0.00014141
                     63,                0.24814,                0.18982,                0.88902,                0.98748,                0.99874,                0.99494,                0.95416,                0.26329,                0.19737,                0.83357,             0.00013787,             0.00013787,             0.00013787
                     64,                 0.2476,                0.19045,                0.88081,                0.98822,                0.99914,                0.99475,                  0.953,                0.26351,                0.19983,                0.83462,             0.00013434,             0.00013434,             0.00013434
                     65,                0.25485,                0.19557,                0.88804,                0.98542,                0.99933,                0.99498,                0.95612,                0.26021,                0.19779,                0.83432,              0.0001308,              0.0001308,              0.0001308
                     66,                 0.2487,                 0.1913,                0.87916,                0.98865,                0.99868,                  0.995,                 0.9693,                0.25965,                0.19451,                0.83137,             0.00012727,             0.00012727,             0.00012727
